#separator:tab
#html:true
#columns:Point	PointRuby	Level	Meaning	Formation	Notes	Contrast	Examples	Tags
#tags column:9
〜あとで	〜あとで	N5	after ~	Verb た-form / Noun の + あとで	Takes the past form of the verb, unlike 前に.		<div class="ex"><div class="jp"><ruby>食事<rt>しょくじ</rt></ruby>の<ruby>後<rt>のち</rt></ruby>で、<ruby>散歩<rt>さんぽ</rt></ruby>します。</div><div class="en">After the meal, I take a walk.</div></div>	jlpt::N5
〜あまり〜ない	〜あまり〜ない	N5	not very / not much	あまり + negative	Softens a negative. ぜんぜん〜ない is the absolute version, &quot;not at all&quot;.		<div class="ex"><div class="jp">あまり<ruby>高<rt>たか</rt></ruby>くないです。</div><div class="en">It&#x27;s not very expensive.</div></div>	jlpt::N5
〜あります	〜あります	N5	there is / exists (inanimate)	Noun + が + ある	For objects, plants and abstractions. Use いる for people and animals.		<div class="ex"><div class="jp"><ruby>机<rt>つくえ</rt></ruby>の<ruby>上<rt>うえ</rt></ruby>に<ruby>本<rt>ほん</rt></ruby>があります。</div><div class="en">There is a book on the desk.</div></div><div class="ex"><div class="jp">あなたと<ruby>彼女<rt>かのじょ</rt></ruby>の<ruby>考<rt>かんが</rt></ruby>えには<ruby>違<rt>ちが</rt></ruby>いがありますか。</div><div class="en">Is there any difference between your idea and hers?</div></div><div class="ex"><div class="jp">あなたの<ruby>報告<rt>ほうこく</rt></ruby><ruby>書<rt>しょ</rt></ruby>には<ruby>少<rt>すこ</rt></ruby>し<ruby>間違<rt>まちが</rt></ruby>いがあります。</div><div class="en">There are a few mistakes in your report.</div></div><div class="ex"><div class="jp">あなたは<ruby>今<rt>いま</rt></ruby>まで<ruby>鯨<rt>くじら</rt></ruby>を<ruby>見<rt>み</rt></ruby>たことがありますか。</div><div class="en">Have you ever seen a whale?</div></div>	jlpt::N5
〜いくら	〜いくら	N5	how much (price)	いくら + です	For cost. Use いくつ for counting things and 何歳 for age.		<div class="ex"><div class="jp">これはいくらですか。</div><div class="en">How much is this?</div></div>	jlpt::N5
〜いつ	〜いつ	N5	when	いつ + verb	Takes no particle before です. いつも means &quot;always&quot;.		<div class="ex"><div class="jp">いつ<ruby>日本<rt>にっぽん</rt></ruby>に<ruby>来<rt>き</rt></ruby>ましたか。</div><div class="en">When did you come to Japan?</div></div>	jlpt::N5
〜います	〜います	N5	there is / exists (animate)	Noun + が + いる	For people and animals. Also forms the progressive with て-form.		<div class="ex"><div class="jp"><ruby>部屋<rt>へや</rt></ruby>に<ruby>猫<rt>ねこ</rt></ruby>がいます。</div><div class="en">There is a cat in the room.</div></div><div class="ex"><div class="jp">あなたのクラスには<ruby>何人<rt>なんにん</rt></ruby>の<ruby>生徒<rt>せいと</rt></ruby>がいますか。</div><div class="en">How many pupils are there in your class?</div></div><div class="ex"><div class="jp">マイクはシカゴに<ruby>住<rt>す</rt></ruby>んでいる<ruby>友達<rt>ともだち</rt></ruby>がいます。</div><div class="en">Mike has a friend who lives in Chicago.</div></div><div class="ex"><div class="jp">ルーシーには<ruby>私<rt>わたし</rt></ruby>と<ruby>同<rt>おな</rt></ruby>じぐらい<ruby>友達<rt>ともだち</rt></ruby>がいます。</div><div class="en">Lucy has as many friends as I do.</div></div>	jlpt::N5
〜か	〜か	N5	question marker	Sentence + か	Turns a polite sentence into a question; no question mark is needed in Japanese.		<div class="ex"><div class="jp"><ruby>学生<rt>がくせい</rt></ruby>ですか。</div><div class="en">Are you a student?</div></div>	jlpt::N5
〜かった	〜かった	N5	was ~ (い-adjective past)	い-adjective (drop い) + かった	Negative past is 〜くなかった. いい becomes よかった.		<div class="ex"><div class="jp"><ruby>昨日<rt>きのう</rt></ruby>は<ruby>楽<rt>たの</rt></ruby>しかったです。</div><div class="en">Yesterday was fun.</div></div><div class="ex"><div class="jp">とても<ruby>良<rt>よ</rt></ruby>かったです。また<ruby>行<rt>い</rt></ruby>きたいですね。</div><div class="en">It was very exciting! I&#x27;d like to go again.</div></div><div class="ex"><div class="jp"><ruby>昨夜<rt>さくや</rt></ruby>のパーティーはとても<ruby>楽<rt>たの</rt></ruby>しかったです。</div><div class="en">I enjoyed myself at the party last night.</div></div><div class="ex"><div class="jp"><ruby>私<rt>わたし</rt></ruby>の<ruby>眼鏡<rt>めがね</rt></ruby>をどこかで<ruby>見<rt>み</rt></ruby>かけなかったですか。</div><div class="en">Have you seen my glasses anywhere?</div></div>	jlpt::N5
〜から (reason)	〜から (reason)	N5	because ~	Plain form / です・ます form + から	States a reason, often a subjective one. The reason precedes the result.		<div class="ex"><div class="jp"><ruby>寒<rt>さむ</rt></ruby>いから、<ruby>窓<rt>まど</rt></ruby>を<ruby>閉<rt>し</rt></ruby>めます。</div><div class="en">Because it&#x27;s cold, I&#x27;ll close the window.</div></div><div class="ex"><div class="jp">あの<ruby>日<rt>ひ</rt></ruby><ruby>帰<rt>かえ</rt></ruby>ったのは<ruby>体調<rt>たいちょう</rt></ruby>が<ruby>悪<rt>わる</rt></ruby>かったからです。</div><div class="en">It is because the physical condition was bad that it returned that day.</div></div><div class="ex"><div class="jp">そして<ruby>何時<rt>なんじ</rt></ruby><ruby>間<rt>ま</rt></ruby>もいっしょに<ruby>話<rt>はな</rt></ruby>したからです。</div><div class="en">And we had spent hours talking together.</div></div><div class="ex"><div class="jp">なぜなら<ruby>彼<rt>かれ</rt></ruby>は<ruby>偉大<rt>いだい</rt></ruby>な<ruby>音楽家<rt>おんがくか</rt></ruby>だったからです。</div><div class="en">Because he was a great musician.</div></div>	jlpt::N5
〜から〜まで	〜から〜まで	N5	from ~ until ~	Noun + から + Noun + まで	Works for both time and place: 九時から五時まで, 東京から大阪まで.		<div class="ex"><div class="jp"><ruby>九時<rt>くじ</rt></ruby>から<ruby>五時<rt>ごじ</rt></ruby>まで<ruby>働<rt>はたら</rt></ruby>きます。</div><div class="en">I work from nine to five.</div></div><div class="ex"><div class="jp">ここから<ruby>図書館<rt>としょかん</rt></ruby>までどれくらいありますか。</div><div class="en">How far is it to the library from here?</div></div><div class="ex"><div class="jp">ここから<ruby>学校<rt>がっこう</rt></ruby>までどのくらいの<ruby>距離<rt>きょり</rt></ruby>ですか。</div><div class="en">How far is it from here to your school?</div></div><div class="ex"><div class="jp">ここから<ruby>東京<rt>とうきょう</rt></ruby>までどのくらいの<ruby>距離<rt>きょり</rt></ruby>ですか。</div><div class="en">How far is it from here to Tokyo?</div></div>	jlpt::N5
