#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜あとで</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜あとで</div><div style="font-size:22px;color:#14532d;margin-bottom:14px">after ~</div><div style="font-size:15px;color:#475569;background:#f1f4f9;border-radius:8px;padding:8px 12px;display:inline-block">Verb た-form / Noun の + あとで</div><div style="font-size:15px;color:#5b6472;margin-top:14px;line-height:1.7">Takes the past form of the verb, unlike 前に.</div><div style="font-size:11px;letter-spacing:.1em;text-transform:uppercase;color:#a7aebb;margin:22px 0 6px">Examples</div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2"><ruby>食事<rt>しょくじ</rt></ruby>の<ruby>後<rt>のち</rt></ruby>で、<ruby>散歩<rt>さんぽ</rt></ruby>します。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">After the meal, I take a walk.</div></div>	jlpt::N5
<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜あまり〜ない</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜あまり〜ない</div><div style="font-size:22px;color:#14532d;margin-bottom:14px">not very / not much</div><div style="font-size:15px;color:#475569;background:#f1f4f9;border-radius:8px;padding:8px 12px;display:inline-block">あまり + negative</div><div style="font-size:15px;color:#5b6472;margin-top:14px;line-height:1.7">Softens a negative. ぜんぜん〜ない is the absolute version, &quot;not at all&quot;.</div><div style="font-size:11px;letter-spacing:.1em;text-transform:uppercase;color:#a7aebb;margin:22px 0 6px">Examples</div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2">あまり<ruby>高<rt>たか</rt></ruby>くないです。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">It&#x27;s not very expensive.</div></div>	jlpt::N5
<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜あります</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜あります</div><div style="font-size:22px;color:#14532d;margin-bottom:14px">there is / exists (inanimate)</div><div style="font-size:15px;color:#475569;background:#f1f4f9;border-radius:8px;padding:8px 12px;display:inline-block">Noun + が + ある</div><div style="font-size:15px;color:#5b6472;margin-top:14px;line-height:1.7">For objects, plants and abstractions. Use いる for people and animals.</div><div style="font-size:11px;letter-spacing:.1em;text-transform:uppercase;color:#a7aebb;margin:22px 0 6px">Examples</div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2"><ruby>机<rt>つくえ</rt></ruby>の<ruby>上<rt>うえ</rt></ruby>に<ruby>本<rt>ほん</rt></ruby>があります。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">There is a book on the desk.</div></div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2">あなたと<ruby>彼女<rt>かのじょ</rt></ruby>の<ruby>考<rt>かんが</rt></ruby>えには<ruby>違<rt>ちが</rt></ruby>いがありますか。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">Is there any difference between your idea and hers?</div></div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2">あなたの<ruby>報告<rt>ほうこく</rt></ruby><ruby>書<rt>しょ</rt></ruby>には<ruby>少<rt>すこ</rt></ruby>し<ruby>間違<rt>まちが</rt></ruby>いがあります。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">There are a few mistakes in your report.</div></div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2">あなたは<ruby>今<rt>いま</rt></ruby>まで<ruby>鯨<rt>くじら</rt></ruby>を<ruby>見<rt>み</rt></ruby>たことがありますか。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">Have you ever seen a whale?</div></div>	jlpt::N5
<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜いくら</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜いくら</div><div style="font-size:22px;color:#14532d;margin-bottom:14px">how much (price)</div><div style="font-size:15px;color:#475569;background:#f1f4f9;border-radius:8px;padding:8px 12px;display:inline-block">いくら + です</div><div style="font-size:15px;color:#5b6472;margin-top:14px;line-height:1.7">For cost. Use いくつ for counting things and 何歳 for age.</div><div style="font-size:11px;letter-spacing:.1em;text-transform:uppercase;color:#a7aebb;margin:22px 0 6px">Examples</div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2">これはいくらですか。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">How much is this?</div></div>	jlpt::N5
<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜いつ</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜いつ</div><div style="font-size:22px;color:#14532d;margin-bottom:14px">when</div><div style="font-size:15px;color:#475569;background:#f1f4f9;border-radius:8px;padding:8px 12px;display:inline-block">いつ + verb</div><div style="font-size:15px;color:#5b6472;margin-top:14px;line-height:1.7">Takes no particle before です. いつも means &quot;always&quot;.</div><div style="font-size:11px;letter-spacing:.1em;text-transform:uppercase;color:#a7aebb;margin:22px 0 6px">Examples</div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2">いつ<ruby>日本<rt>にっぽん</rt></ruby>に<ruby>来<rt>き</rt></ruby>ましたか。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">When did you come to Japan?</div></div>	jlpt::N5
<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜います</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜います</div><div style="font-size:22px;color:#14532d;margin-bottom:14px">there is / exists (animate)</div><div style="font-size:15px;color:#475569;background:#f1f4f9;border-radius:8px;padding:8px 12px;display:inline-block">Noun + が + いる</div><div style="font-size:15px;color:#5b6472;margin-top:14px;line-height:1.7">For people and animals. Also forms the progressive with て-form.</div><div style="font-size:11px;letter-spacing:.1em;text-transform:uppercase;color:#a7aebb;margin:22px 0 6px">Examples</div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2"><ruby>部屋<rt>へや</rt></ruby>に<ruby>猫<rt>ねこ</rt></ruby>がいます。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">There is a cat in the room.</div></div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2">あなたのクラスには<ruby>何人<rt>なんにん</rt></ruby>の<ruby>生徒<rt>せいと</rt></ruby>がいますか。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">How many pupils are there in your class?</div></div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2">マイクはシカゴに<ruby>住<rt>す</rt></ruby>んでいる<ruby>友達<rt>ともだち</rt></ruby>がいます。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">Mike has a friend who lives in Chicago.</div></div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2">ルーシーには<ruby>私<rt>わたし</rt></ruby>と<ruby>同<rt>おな</rt></ruby>じぐらい<ruby>友達<rt>ともだち</rt></ruby>がいます。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">Lucy has as many friends as I do.</div></div>	jlpt::N5
<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜か</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜か</div><div style="font-size:22px;color:#14532d;margin-bottom:14px">question marker</div><div style="font-size:15px;color:#475569;background:#f1f4f9;border-radius:8px;padding:8px 12px;display:inline-block">Sentence + か</div><div style="font-size:15px;color:#5b6472;margin-top:14px;line-height:1.7">Turns a polite sentence into a question; no question mark is needed in Japanese.</div><div style="font-size:11px;letter-spacing:.1em;text-transform:uppercase;color:#a7aebb;margin:22px 0 6px">Examples</div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2"><ruby>学生<rt>がくせい</rt></ruby>ですか。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">Are you a student?</div></div>	jlpt::N5
<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜かった</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜かった</div><div style="font-size:22px;color:#14532d;margin-bottom:14px">was ~ (い-adjective past)</div><div style="font-size:15px;color:#475569;background:#f1f4f9;border-radius:8px;padding:8px 12px;display:inline-block">い-adjective (drop い) + かった</div><div style="font-size:15px;color:#5b6472;margin-top:14px;line-height:1.7">Negative past is 〜くなかった. いい becomes よかった.</div><div style="font-size:11px;letter-spacing:.1em;text-transform:uppercase;color:#a7aebb;margin:22px 0 6px">Examples</div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2"><ruby>昨日<rt>きのう</rt></ruby>は<ruby>楽<rt>たの</rt></ruby>しかったです。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">Yesterday was fun.</div></div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2">とても<ruby>良<rt>よ</rt></ruby>かったです。また<ruby>行<rt>い</rt></ruby>きたいですね。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">It was very exciting! I&#x27;d like to go again.</div></div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2"><ruby>昨夜<rt>さくや</rt></ruby>のパーティーはとても<ruby>楽<rt>たの</rt></ruby>しかったです。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">I enjoyed myself at the party last night.</div></div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2"><ruby>私<rt>わたし</rt></ruby>の<ruby>眼鏡<rt>めがね</rt></ruby>をどこかで<ruby>見<rt>み</rt></ruby>かけなかったですか。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">Have you seen my glasses anywhere?</div></div>	jlpt::N5
<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜から (reason)</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜から (reason)</div><div style="font-size:22px;color:#14532d;margin-bottom:14px">because ~</div><div style="font-size:15px;color:#475569;background:#f1f4f9;border-radius:8px;padding:8px 12px;display:inline-block">Plain form / です・ます form + から</div><div style="font-size:15px;color:#5b6472;margin-top:14px;line-height:1.7">States a reason, often a subjective one. The reason precedes the result.</div><div style="font-size:11px;letter-spacing:.1em;text-transform:uppercase;color:#a7aebb;margin:22px 0 6px">Examples</div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2"><ruby>寒<rt>さむ</rt></ruby>いから、<ruby>窓<rt>まど</rt></ruby>を<ruby>閉<rt>し</rt></ruby>めます。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">Because it&#x27;s cold, I&#x27;ll close the window.</div></div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2">あの<ruby>日<rt>ひ</rt></ruby><ruby>帰<rt>かえ</rt></ruby>ったのは<ruby>体調<rt>たいちょう</rt></ruby>が<ruby>悪<rt>わる</rt></ruby>かったからです。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">It is because the physical condition was bad that it returned that day.</div></div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2">そして<ruby>何時<rt>なんじ</rt></ruby><ruby>間<rt>ま</rt></ruby>もいっしょに<ruby>話<rt>はな</rt></ruby>したからです。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">And we had spent hours talking together.</div></div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2">なぜなら<ruby>彼<rt>かれ</rt></ruby>は<ruby>偉大<rt>いだい</rt></ruby>な<ruby>音楽家<rt>おんがくか</rt></ruby>だったからです。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">Because he was a great musician.</div></div>	jlpt::N5
<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜から〜まで</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:14px">N5</div><div style="font-size:36px;font-weight:600;line-height:1.9;margin-bottom:10px">〜から〜まで</div><div style="font-size:22px;color:#14532d;margin-bottom:14px">from ~ until ~</div><div style="font-size:15px;color:#475569;background:#f1f4f9;border-radius:8px;padding:8px 12px;display:inline-block">Noun + から + Noun + まで</div><div style="font-size:15px;color:#5b6472;margin-top:14px;line-height:1.7">Works for both time and place: 九時から五時まで, 東京から大阪まで.</div><div style="font-size:11px;letter-spacing:.1em;text-transform:uppercase;color:#a7aebb;margin:22px 0 6px">Examples</div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2"><ruby>九時<rt>くじ</rt></ruby>から<ruby>五時<rt>ごじ</rt></ruby>まで<ruby>働<rt>はたら</rt></ruby>きます。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">I work from nine to five.</div></div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2">ここから<ruby>図書館<rt>としょかん</rt></ruby>までどれくらいありますか。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">How far is it to the library from here?</div></div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2">ここから<ruby>学校<rt>がっこう</rt></ruby>までどのくらいの<ruby>距離<rt>きょり</rt></ruby>ですか。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">How far is it from here to your school?</div></div><div style="border-top:1px solid #e6eaf0;padding:12px 0"><div style="font-size:21px;line-height:2.2">ここから<ruby>東京<rt>とうきょう</rt></ruby>までどのくらいの<ruby>距離<rt>きょり</rt></ruby>ですか。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:4px">How far is it from here to Tokyo?</div></div>	jlpt::N5
