#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
<div style="font-size:23px;line-height:2.0;margin-bottom:14px">お客様<span style="color:#b4491f;font-weight:600">［ ？ ］</span>商売です。</div><div style="font-size:16px;color:#5b6472;font-style:italic">Business exists only because of customers.</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:12px">N1</div><div style="font-size:32px;font-weight:600;color:#b4491f;margin-bottom:6px">あっての</div><div style="font-size:14px;color:#475569;background:#f1f4f9;border-radius:8px;padding:7px 11px;display:inline-block;margin-top:14px">Noun + あっての + Noun</div><div style="font-size:21px;line-height:2.2;margin-top:16px">お<ruby>客様<rt>きゃくさま</rt></ruby>あっての<ruby>商売<rt>しょうばい</rt></ruby>です。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:6px">Business exists only because of customers.</div>	cloze jlpt::N1 fn::conditional
<div style="font-size:23px;line-height:2.0;margin-bottom:14px">結果の<span style="color:#b4491f;font-weight:600">［ ？ ］</span>によっては、計画を変更する。</div><div style="font-size:16px;color:#5b6472;font-style:italic">Depending on the results, we will change the plan.</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:12px">N1</div><div style="font-size:32px;font-weight:600;color:#b4491f;margin-bottom:6px">いかん</div><div style="font-size:14px;color:#475569;background:#f1f4f9;border-radius:8px;padding:7px 11px;display:inline-block;margin-top:14px">Noun + いかんによっては</div><div style="font-size:21px;line-height:2.2;margin-top:16px"><ruby>結果<rt>けっか</rt></ruby>のいかんによっては、<ruby>計画<rt>けいかく</rt></ruby>を<ruby>変更<rt>へんこう</rt></ruby>する。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:6px">Depending on the results, we will change the plan.</div>	cloze jlpt::N1 fn::quotation fn::degree
<div style="font-size:23px;line-height:2.0;margin-bottom:14px">理由の<span style="color:#b4491f;font-weight:600">［ ？ ］</span>よらず、返金しません。</div><div style="font-size:16px;color:#5b6472;font-style:italic">Regardless of the reason, we do not refund.</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:12px">N1</div><div style="font-size:32px;font-weight:600;color:#b4491f;margin-bottom:6px">いかんに</div><div style="font-size:14px;color:#475569;background:#f1f4f9;border-radius:8px;padding:7px 11px;display:inline-block;margin-top:14px">Noun + のいかんによらず</div><div style="font-size:21px;line-height:2.2;margin-top:16px"><ruby>理由<rt>りゆう</rt></ruby>のいかんによらず、<ruby>返金<rt>へんきん</rt></ruby>しません。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:6px">Regardless of the reason, we do not refund.</div>	cloze jlpt::N1 fn::concessive
<div style="font-size:23px;line-height:2.0;margin-bottom:14px">彼は教師の<span style="color:#b4491f;font-weight:600">［ ？ ］</span>、小説を書いている。</div><div style="font-size:16px;color:#5b6472;font-style:italic">Alongside teaching, he writes novels.</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:12px">N1</div><div style="font-size:32px;font-weight:600;color:#b4491f;margin-bottom:6px">かたわら</div><div style="font-size:14px;color:#475569;background:#f1f4f9;border-radius:8px;padding:7px 11px;display:inline-block;margin-top:14px">Verb dictionary form / Noun の + かたわら</div><div style="font-size:21px;line-height:2.2;margin-top:16px"><ruby>彼<rt>かれ</rt></ruby>は<ruby>教師<rt>きょうし</rt></ruby>のかたわら、<ruby>小説<rt>しょうせつ</rt></ruby>を<ruby>書<rt>か</rt></ruby>いている。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:6px">Alongside teaching, he writes novels.</div>	cloze jlpt::N1 fn::time
<div style="font-size:23px;line-height:2.0;margin-bottom:14px">散歩<span style="color:#b4491f;font-weight:600">［ ？ ］</span>買い物に行った。</div><div style="font-size:16px;color:#5b6472;font-style:italic">I went shopping while taking a walk.</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:12px">N1</div><div style="font-size:32px;font-weight:600;color:#b4491f;margin-bottom:6px">がてら</div><div style="font-size:14px;color:#475569;background:#f1f4f9;border-radius:8px;padding:7px 11px;display:inline-block;margin-top:14px">Verb ます-stem / Noun + がてら</div><div style="font-size:21px;line-height:2.2;margin-top:16px"><ruby>散歩<rt>さんぽ</rt></ruby>がてら<ruby>買<rt>か</rt></ruby>い<ruby>物<rt>もの</rt></ruby>に<ruby>行<rt>い</rt></ruby>った。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:6px">I went shopping while taking a walk.</div>	cloze jlpt::N1 fn::purpose
<div style="font-size:23px;line-height:2.0;margin-bottom:14px">真剣である<span style="color:#b4491f;font-weight:600">［ ？ ］</span>厳しくなる。</div><div style="font-size:16px;color:#5b6472;font-style:italic">Because he is serious, he becomes strict.</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:12px">N1</div><div style="font-size:32px;font-weight:600;color:#b4491f;margin-bottom:6px">がゆえに</div><div style="font-size:14px;color:#475569;background:#f1f4f9;border-radius:8px;padding:7px 11px;display:inline-block;margin-top:14px">Plain form / Noun (である) + がゆえに</div><div style="font-size:21px;line-height:2.2;margin-top:16px"><ruby>真剣<rt>しんけん</rt></ruby>であるがゆえに<ruby>厳<rt>きび</rt></ruby>しくなる。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:6px">Because he is serious, he becomes strict.</div>	cloze jlpt::N1 fn::causation
<div style="font-size:23px;line-height:2.0;margin-bottom:14px">ベルが鳴る<span style="color:#b4491f;font-weight:600">［ ？ ］</span>、教室を飛び出した。</div><div style="font-size:16px;color:#5b6472;font-style:italic">The instant the bell rang, he dashed out of the classroom.</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:12px">N1</div><div style="font-size:32px;font-weight:600;color:#b4491f;margin-bottom:6px">が早いか</div><div style="font-size:14px;color:#475569;background:#f1f4f9;border-radius:8px;padding:7px 11px;display:inline-block;margin-top:14px">Verb dictionary form + が早いか</div><div style="font-size:21px;line-height:2.2;margin-top:16px">ベルが<ruby>鳴<rt>な</rt></ruby>るが<ruby>早<rt>はや</rt></ruby>いか、<ruby>教室<rt>きょうしつ</rt></ruby>を<ruby>飛<rt>と</rt></ruby>び<ruby>出<rt>だ</rt></ruby>した。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:6px">The instant the bell rang, he dashed out of the classroom.</div>	cloze jlpt::N1 fn::time
<div style="font-size:23px;line-height:2.0;margin-bottom:14px">彼は寝た<span style="color:#b4491f;font-weight:600">［ ？ ］</span>、朝まで起きない。</div><div style="font-size:16px;color:#5b6472;font-style:italic">Once he falls asleep, he won&#x27;t wake until morning.</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:12px">N1</div><div style="font-size:32px;font-weight:600;color:#b4491f;margin-bottom:6px">が最後</div><div style="font-size:14px;color:#475569;background:#f1f4f9;border-radius:8px;padding:7px 11px;display:inline-block;margin-top:14px">Verb た-form + が最後</div><div style="font-size:21px;line-height:2.2;margin-top:16px"><ruby>彼<rt>かれ</rt></ruby>は<ruby>寝<rt>ね</rt></ruby>たが<ruby>最後<rt>さいご</rt></ruby>、<ruby>朝<rt>あさ</rt></ruby>まで<ruby>起<rt>お</rt></ruby>きない。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:6px">Once he falls asleep, he won&#x27;t wake until morning.</div>	cloze jlpt::N1 fn::time
<div style="font-size:23px;line-height:2.0;margin-bottom:14px">彼は物事を悲観的に考える<span style="color:#b4491f;font-weight:600">［ ？ ］</span>。</div><div style="font-size:16px;color:#5b6472;font-style:italic">He tends to think about things pessimistically.</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:12px">N1</div><div style="font-size:32px;font-weight:600;color:#b4491f;margin-bottom:6px">きらいがある</div><div style="font-size:14px;color:#475569;background:#f1f4f9;border-radius:8px;padding:7px 11px;display:inline-block;margin-top:14px">Verb dictionary form / Noun の + きらいがある</div><div style="font-size:21px;line-height:2.2;margin-top:16px"><ruby>彼<rt>かれ</rt></ruby>は<ruby>物事<rt>ものごと</rt></ruby>を<ruby>悲観<rt>ひかん</rt></ruby><ruby>的<rt>てき</rt></ruby>に<ruby>考<rt>かんが</rt></ruby>えるきらいがある。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:6px">He tends to think about things pessimistically.</div>	cloze jlpt::N1 fn::tendency
<div style="font-size:23px;line-height:2.0;margin-bottom:14px">危険<span style="color:#b4491f;font-weight:600">［ ？ ］</span>行為だ。</div><div style="font-size:16px;color:#5b6472;font-style:italic">It is an extremely dangerous act.</div>	<div style="display:inline-block;font-size:11px;letter-spacing:.12em;color:#6b7280;border:1px solid #d8dde6;border-radius:99px;padding:2px 10px;margin-bottom:12px">N1</div><div style="font-size:32px;font-weight:600;color:#b4491f;margin-bottom:6px">きわまりない</div><div style="font-size:14px;color:#475569;background:#f1f4f9;border-radius:8px;padding:7px 11px;display:inline-block;margin-top:14px">な-adjective stem + きわまりない</div><div style="font-size:21px;line-height:2.2;margin-top:16px"><ruby>危険<rt>きけん</rt></ruby>きわまりない<ruby>行為<rt>こうい</rt></ruby>だ。</div><div style="font-size:15px;color:#5b6472;font-style:italic;margin-top:6px">It is an extremely dangerous act.</div>	cloze jlpt::N1 fn::emphasis
