#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
<div style="font-size:44px;line-height:2.0">する</div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">verb</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">to do; to carry out; to perform</div><div style="font-size:12px;color:#a7aebb">frequency rank 1</div><hr><div style="font-size:22px;line-height:2.2"><ruby>明<rt>あき</rt></ruby>らかに<ruby>全員<rt>ぜんいん</rt></ruby><ruby>出席<rt>しゅっせき</rt></ruby><b>し</b>ているように<ruby>見<rt>み</rt></ruby>えました。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">It clearly looked as if everyone was present.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::verb rank::0001-0500
<div style="font-size:44px;line-height:2.0">こと</div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">noun</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">thing; matter</div><div style="font-size:12px;color:#a7aebb">frequency rank 2</div><hr><div style="font-size:22px;line-height:2.2">そんな<b>こと</b>リクエストしていません。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">I didn't request you to do that.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::noun rank::0001-0500
<div style="font-size:44px;line-height:2.0">いる</div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">verb</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">to be (of animate objects); to exist</div><div style="font-size:12px;color:#a7aebb">frequency rank 3</div><hr><div style="font-size:22px;line-height:2.2"><b>いる</b>だけ<ruby>持<rt>も</rt></ruby>っていらっしゃい。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">Please take with you as much as you need.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::verb rank::0001-0500
<div style="font-size:44px;line-height:2.0">ある</div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">verb</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">to be; to exist; to live</div><div style="font-size:12px;color:#a7aebb">frequency rank 4</div><hr><div style="font-size:22px;line-height:2.2"><ruby>分<rt>わ</rt></ruby>からない<ruby>言葉<rt>ことば</rt></ruby>がたくさん<b>ある</b>。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">There are many words that I don't understand.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::verb rank::0001-0500
<div style="font-size:44px;line-height:2.0"><ruby>日<rt>ひ</rt></ruby></div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">noun</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">day; days</div><div style="font-size:12px;color:#a7aebb">frequency rank 5</div><hr><div style="font-size:22px;line-height:2.2"><ruby>彼<rt>かれ</rt></ruby>は２、３<b><ruby>日<rt>にち</rt></ruby></b>したら<ruby>帰<rt>かえ</rt></ruby>ってくるでしょう。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">He will come back in a few days.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::noun rank::0001-0500
<div style="font-size:44px;line-height:2.0">この</div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">adjective</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">this</div><div style="font-size:12px;color:#a7aebb">frequency rank 6</div><hr><div style="font-size:22px;line-height:2.2"><b>この</b>ドライバーは<ruby>小<rt>ちい</rt></ruby>さすぎて<ruby>役<rt>やく</rt></ruby>に<ruby>立<rt>た</rt></ruby>たない。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">This screwdriver is too small to be any use.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::adjective rank::0001-0500
<div style="font-size:44px;line-height:2.0">そう</div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">adverb</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">in that way; thus; such</div><div style="font-size:12px;color:#a7aebb">frequency rank 7</div><hr><div style="font-size:22px;line-height:2.2">まあ、<b>そう</b><ruby>言<rt>い</rt></ruby>ってくださって<ruby>本当<rt>ほんとう</rt></ruby>にありがとう。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">Oh, it's very kind of you to say so.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::adverb rank::0001-0500
<div style="font-size:44px;line-height:2.0">これ</div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">pronoun</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">this; this one</div><div style="font-size:12px;color:#a7aebb">frequency rank 8</div><hr><div style="font-size:22px;line-height:2.2">とても<ruby>疲<rt>つか</rt></ruby>れていて<b>これ</b><ruby>以上<rt>いじょう</rt></ruby><ruby>歩<rt>ある</rt></ruby>けない。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">I'm so tired that I can't walk any longer.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::pronoun rank::0001-0500
<div style="font-size:44px;line-height:2.0">よう</div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">noun</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">appearing ...; looking ...</div><div style="font-size:12px;color:#a7aebb">frequency rank 9</div><hr><div style="font-size:22px;line-height:2.2"><ruby>遅<rt>おく</rt></ruby>れない<b>よう</b><ruby>早<rt>はや</rt></ruby>く<ruby>出発<rt>しゅっぱつ</rt></ruby>した。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">I left early so as not to be late.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::noun rank::0001-0500
<div style="font-size:44px;line-height:2.0"><ruby>年<rt>とし</rt></ruby></div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">noun</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">year</div><div style="font-size:12px;color:#a7aebb">frequency rank 10</div><hr><div style="font-size:22px;line-height:2.2"><ruby>百<rt>ひゃく</rt></ruby><b><ruby>歳<rt>さい</rt></ruby></b><ruby>以上<rt>いじょう</rt></ruby><ruby>生<rt>い</rt></ruby>きる<ruby>人<rt>ひと</rt></ruby>はほとんどいない。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">Few people live to be more than a hundred.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::noun rank::0001-0500
<div style="font-size:44px;line-height:2.0">その</div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">adjective</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">that; the</div><div style="font-size:12px;color:#a7aebb">frequency rank 11</div><hr><div style="font-size:22px;line-height:2.2"><ruby>放課後<rt>ほうかご</rt></ruby>、<b>その</b><ruby>計画<rt>けいかく</rt></ruby>について<ruby>相談<rt>そうだん</rt></ruby>しよう。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">Let's talk over the plan after school.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::adjective rank::0001-0500
<div style="font-size:44px;line-height:2.0">なる</div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">verb</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">to become; to get; to grow</div><div style="font-size:12px;color:#a7aebb">frequency rank 12</div><hr><div style="font-size:22px;line-height:2.2"><ruby>本当<rt>ほんとう</rt></ruby>によく<b>なっ</b>ている<ruby>感<rt>かん</rt></ruby>じがしますもの。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">I do feel on the mend.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::verb rank::0001-0500
<div style="font-size:44px;line-height:2.0">なら</div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">conjunction</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">if; in case; if it is the case that</div><div style="font-size:12px;color:#a7aebb">frequency rank 13</div><hr><div style="font-size:22px;line-height:2.2"><ruby>感情<rt>かんじょう</rt></ruby>によって<ruby>理性<rt>りせい</rt></ruby>が<ruby>曇<rt>くも</rt></ruby>らされているままにしておくならば、<ruby>我々<rt>われわれ</rt></ruby>は、<ruby>常<rt>つね</rt></ruby>に<ruby>見当<rt>けんとう</rt></ruby><ruby>違<rt>ちが</rt></ruby>いのことをしてしまうだろう。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">If we let our reasoning power be overshadowed by our emotions, we would be barking up the wrong tree all the time.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::conjunction rank::0001-0500
<div style="font-size:44px;line-height:2.0"><ruby>者<rt>もの</rt></ruby></div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">noun</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">person</div><div style="font-size:12px;color:#a7aebb">frequency rank 14</div><hr><div style="font-size:22px;line-height:2.2"><ruby>一生懸命<rt>いっしょうけんめい</rt></ruby><ruby>勉強<rt>べんきょう</rt></ruby>する<b><ruby>者<rt>もの</rt></ruby></b>は<ruby>誰<rt>だれ</rt></ruby>でも<ruby>必<rt>かなら</rt></ruby>ず<ruby>成功<rt>せいこう</rt></ruby>する。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">Whoever studies hard cannot fail to succeed.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::noun rank::0001-0500
<div style="font-size:44px;line-height:2.0"><ruby>月<rt>つき</rt></ruby></div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">noun</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">Moon</div><div style="font-size:12px;color:#a7aebb">frequency rank 15</div><hr><div style="font-size:22px;line-height:2.2"><ruby>新<rt>あたら</rt></ruby>しい<b><ruby>月<rt>つき</rt></ruby></b>もでてきました。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">A new moon was coming up.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::noun rank::0001-0500
<div style="font-size:44px;line-height:2.0">という</div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">expression</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">called; named; that says</div><div style="font-size:12px;color:#a7aebb">frequency rank 16</div><hr><div style="font-size:22px;line-height:2.2"><ruby>彼女<rt>かのじょ</rt></ruby>はついに<ruby>喫煙<rt>きつえん</rt></ruby><b>という</b><ruby>悪<rt>わる</rt></ruby>い<ruby>習慣<rt>しゅうかん</rt></ruby>がついた。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">She eventually got into the bad habit of smoking.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::expression rank::0001-0500
<div style="font-size:44px;line-height:2.0">それ</div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">pronoun</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">that; it</div><div style="font-size:12px;color:#a7aebb">frequency rank 17</div><hr><div style="font-size:22px;line-height:2.2"><ruby>彼女<rt>かのじょ</rt></ruby>は<b>それ</b>について<ruby>知<rt>し</rt></ruby>っていたはずがない。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">It's impossible that she knew about it.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::pronoun rank::0001-0500
<div style="font-size:44px;line-height:2.0"><ruby>私<rt>わたし</rt></ruby></div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">pronoun</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">I; me</div><div style="font-size:12px;color:#a7aebb">frequency rank 18</div><hr><div style="font-size:22px;line-height:2.2"><b><ruby>私<rt>わたし</rt></ruby></b>よりもっとエッチな<ruby>人<rt>ひと</rt></ruby>もいて<ruby>安心<rt>あんしん</rt></ruby>しました。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">I was relieved that there are people more wanton than me.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::pronoun rank::0001-0500
<div style="font-size:44px;line-height:2.0">ため</div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">noun</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">good; advantage; benefit</div><div style="font-size:12px;color:#a7aebb">frequency rank 19</div><hr><div style="font-size:22px;line-height:2.2"><ruby>病気<rt>びょうき</rt></ruby>の<b>ため</b><ruby>彼<rt>かれ</rt></ruby>のコンサートに<ruby>行<rt>い</rt></ruby>けなかった。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">Illness prevented me from going to his concert.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::noun rank::0001-0500
<div style="font-size:44px;line-height:2.0"><ruby>時<rt>とき</rt></ruby></div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">noun</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">time; hour; moment</div><div style="font-size:12px;color:#a7aebb">frequency rank 20</div><hr><div style="font-size:22px;line-height:2.2"><ruby>母<rt>はは</rt></ruby>は<ruby>若<rt>わか</rt></ruby>い<b>とき</b>、とても<ruby>美<rt>うつく</rt></ruby>しかった。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">When my mother was young, she was very beautiful.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::noun rank::0001-0500
<div style="font-size:44px;line-height:2.0">あり</div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">noun</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">ant</div><div style="font-size:12px;color:#a7aebb">frequency rank 21</div><hr><div style="font-size:22px;line-height:2.2"><ruby>奴隷<rt>どれい</rt></ruby>たちは、まるで<b><ruby>蟻<rt>あり</rt></ruby></b>のように<ruby>働<rt>はたら</rt></ruby>いていた。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">The slaves were working like so many ants.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::noun rank::0001-0500
<div style="font-size:44px;line-height:2.0">もの</div><div style="font-size:13px;color:#8b93a3;letter-spacing:.06em">noun</div>	<div style="font-size:24px;color:#14532d;margin-bottom:6px">thing; object; article</div><div style="font-size:12px;color:#a7aebb">frequency rank 22</div><hr><div style="font-size:22px;line-height:2.2"><ruby>本当<rt>ほんとう</rt></ruby>によくなっている<ruby>感<rt>かん</rt></ruby>じがします<b>もの</b>。</div><div style="font-size:16px;color:#5b6472;font-style:italic;margin-top:10px">I do feel on the mend.</div><div style="font-size:10px;color:#c9cfd9;margin-top:18px">Sentence: Tatoeba / Tanaka Corpus (CC BY 2.0 FR) &middot; Definition: JMdict, EDRDG (CC BY-SA 4.0)</div>	pos::noun rank::0001-0500
