rank	word	reading	part_of_speech	meaning	example	translation
1	する	する	verb	to do; to carry out; to perform	明らかに全員出席しているように見えました。	It clearly looked as if everyone was present.
2	こと	こと	noun	thing; matter	そんなことリクエストしていません。	I didn't request you to do that.
3	いる	いる	verb	to be (of animate objects); to exist	いるだけ持っていらっしゃい。	Please take with you as much as you need.
4	ある	ある	verb	to be; to exist; to live	分からない言葉がたくさんある。	There are many words that I don't understand.
5	日	ひ	noun	day; days	彼は２、３日したら帰ってくるでしょう。	He will come back in a few days.
6	この	この	adjective	this	このドライバーは小さすぎて役に立たない。	This screwdriver is too small to be any use.
7	そう	そう	adverb	in that way; thus; such	まあ、そう言ってくださって本当にありがとう。	Oh, it's very kind of you to say so.
8	これ	これ	pronoun	this; this one	とても疲れていてこれ以上歩けない。	I'm so tired that I can't walk any longer.
9	よう	よう	noun	appearing ...; looking ...	遅れないよう早く出発した。	I left early so as not to be late.
10	年	とし	noun	year	百歳以上生きる人はほとんどいない。	Few people live to be more than a hundred.
11	その	その	adjective	that; the	放課後、その計画について相談しよう。	Let's talk over the plan after school.
12	なる	なる	verb	to become; to get; to grow	本当によくなっている感じがしますもの。	I do feel on the mend.
13	なら	なら	conjunction	if; in case; if it is the case that	感情によって理性が曇らされているままにしておくならば、我々は、常に見当違いのことをしてしまうだろう。	If we let our reasoning power be overshadowed by our emotions, we would be barking up the wrong tree all the time.
14	者	もの	noun	person	一生懸命勉強する者は誰でも必ず成功する。	Whoever studies hard cannot fail to succeed.
15	月	つき	noun	Moon	新しい月もでてきました。	A new moon was coming up.
16	という	という	expression	called; named; that says	彼女はついに喫煙という悪い習慣がついた。	She eventually got into the bad habit of smoking.
17	それ	それ	pronoun	that; it	彼女はそれについて知っていたはずがない。	It's impossible that she knew about it.
18	私	わたし	pronoun	I; me	私よりもっとエッチな人もいて安心しました。	I was relieved that there are people more wanton than me.
19	ため	ため	noun	good; advantage; benefit	病気のため彼のコンサートに行けなかった。	Illness prevented me from going to his concert.
20	時	とき	noun	time; hour; moment	母は若いとき、とても美しかった。	When my mother was young, she was very beautiful.
21	あり	あり	noun	ant	奴隷たちは、まるで蟻のように働いていた。	The slaves were working like so many ants.
22	もの	もの	noun	thing; object; article	本当によくなっている感じがしますもの。	I do feel on the mend.
23	あっ	あっ	interjection	ah; oh	あっ！教えてくれ。	Oh! Show me how.
24	今	いま	noun	now; the present time; just now	彼は今学期ほとんど勉強していない。	He has hardly studied this term.
25	方	ほう	noun	direction; way; side	彼はできるだけ速く私の方へ走ってきた。	He ran toward me as fast as he could.
